algo,pivot_id,type,index,ts,price,label,confirmed_at,lookahead
fractal,FR_SH_6,SH,6,2025-07-31 00:00:00+00:00,6325.523,N/A,2025-07-31 00:00:00+00:00,2
fractal,FR_SL_11,SL,11,2025-07-31 20:00:00+00:00,6225.34,N/A,2025-07-31 20:00:00+00:00,2
fractal,FR_SH_17,SH,17,2025-08-01 20:00:00+00:00,6306.887,LH,2025-08-01 20:00:00+00:00,2
fractal,FR_SL_20,SL,20,2025-08-02 08:00:00+00:00,6223.475,LL,2025-08-02 08:00:00+00:00,2
fractal,FR_SH_44,SH,44,2025-08-06 08:00:00+00:00,6183.824,LH,2025-08-06 08:00:00+00:00,2
fractal,FR_SL_47,SL,47,2025-08-06 20:00:00+00:00,6106.017,LL,2025-08-06 20:00:00+00:00,2
fractal,FR_SH_50,SH,50,2025-08-07 08:00:00+00:00,6154.178,LH,2025-08-07 08:00:00+00:00,2
fractal,FR_SL_55,SL,55,2025-08-08 04:00:00+00:00,6113.916,HL,2025-08-08 04:00:00+00:00,2
fractal,FR_SH_61,SH,61,2025-08-09 04:00:00+00:00,6197.593,HH,2025-08-09 04:00:00+00:00,2
fractal,FR_SL_64,SL,64,2025-08-09 16:00:00+00:00,6146.877,HL,2025-08-09 16:00:00+00:00,2
fractal,FR_SH_68,SH,68,2025-08-10 08:00:00+00:00,6204.694,HH,2025-08-10 08:00:00+00:00,2
fractal,FR_SL_73,SL,73,2025-08-11 04:00:00+00:00,6146.95,HL,2025-08-11 04:00:00+00:00,2
fractal,FR_SH_75,SH,75,2025-08-11 12:00:00+00:00,6191.68,LH,2025-08-11 12:00:00+00:00,2
fractal,FR_SL_88,SL,88,2025-08-13 16:00:00+00:00,6049.358,LL,2025-08-13 16:00:00+00:00,2
fractal,FR_SH_94,SH,94,2025-08-14 16:00:00+00:00,6112.7,LH,2025-08-14 16:00:00+00:00,2
fractal,FR_SL_106,SL,106,2025-08-16 16:00:00+00:00,6024.594,LL,2025-08-16 16:00:00+00:00,2
fractal,FR_SH_108,SH,108,2025-08-17 00:00:00+00:00,6079.035,LH,2025-08-17 00:00:00+00:00,2
fractal,FR_SL_112,SL,112,2025-08-17 16:00:00+00:00,6012.9,LL,2025-08-17 16:00:00+00:00,2
fractal,FR_SH_121,SH,121,2025-08-19 04:00:00+00:00,6074.749,LH,2025-08-19 04:00:00+00:00,2
fractal,FR_SL_129,SL,129,2025-08-20 12:00:00+00:00,6015.033,HL,2025-08-20 12:00:00+00:00,2
fractal,FR_SH_132,SH,132,2025-08-21 00:00:00+00:00,6057.3,LH,2025-08-21 00:00:00+00:00,2
fractal,FR_SL_137,SL,137,2025-08-21 20:00:00+00:00,5982.423,LL,2025-08-21 20:00:00+00:00,2
fractal,FR_SL_144,SL,144,2025-08-23 00:00:00+00:00,5984.768,HL,2025-08-23 00:00:00+00:00,2
fractal,FR_SH_156,SH,156,2025-08-25 00:00:00+00:00,6066.316,HH,2025-08-25 00:00:00+00:00,2
