algo,pivot_id,type,index,ts,price,label,confirmed_at,threshold_used,threshold_basis
zigzag,ZZ_SL_11,SL,11,2025-07-31 20:00:00+00:00,6225.34,N/A,2025-08-01 16:00:00+00:00,49.80272,max
zigzag,ZZ_SH_17,SH,17,2025-08-01 20:00:00+00:00,6306.887,N/A,2025-08-02 08:00:00+00:00,50.455096,max
zigzag,ZZ_SL_47,SL,47,2025-08-06 20:00:00+00:00,6106.017,LL,2025-08-08 12:00:00+00:00,48.848136,max
zigzag,ZZ_SH_61,SH,61,2025-08-09 04:00:00+00:00,6197.593,LH,2025-08-09 12:00:00+00:00,49.580744,max
zigzag,ZZ_SL_64,SL,64,2025-08-09 16:00:00+00:00,6146.877,HL,2025-08-10 08:00:00+00:00,49.17501600000001,max
zigzag,ZZ_SH_68,SH,68,2025-08-10 08:00:00+00:00,6204.694,HH,2025-08-11 04:00:00+00:00,49.63755200000001,max
zigzag,ZZ_SL_88,SL,88,2025-08-13 16:00:00+00:00,6049.358,LL,2025-08-14 12:00:00+00:00,48.394864000000005,max
zigzag,ZZ_SH_94,SH,94,2025-08-14 16:00:00+00:00,6112.7,LH,2025-08-15 16:00:00+00:00,48.9016,max
zigzag,ZZ_SL_106,SL,106,2025-08-16 16:00:00+00:00,6024.594,LL,2025-08-17 00:00:00+00:00,48.196752000000004,max
zigzag,ZZ_SH_108,SH,108,2025-08-17 00:00:00+00:00,6079.035,LH,2025-08-17 08:00:00+00:00,48.63228,max
zigzag,ZZ_SL_112,SL,112,2025-08-17 16:00:00+00:00,6012.9,LL,2025-08-18 12:00:00+00:00,48.1032,max
zigzag,ZZ_SH_121,SH,121,2025-08-19 04:00:00+00:00,6074.749,LH,2025-08-20 12:00:00+00:00,48.597992,max
zigzag,ZZ_SL_137,SL,137,2025-08-21 20:00:00+00:00,5982.423,LL,2025-08-23 12:00:00+00:00,47.859384,max
zigzag,ZZ_SH_156,SH,156,2025-08-25 00:00:00+00:00,6066.316,LH,2025-08-25 12:00:00+00:00,48.530528,max
